index,x,y,dx,dy
475,-114.9380035,36.0275002,0.0249939,-0.0404015
476,-114.9260025,36.0299988,0.0169983,-0.0379028
477,-114.9140015,36.0329018,0.0100021,-0.0349998
478,-114.9029999,36.0355988,0.0019989,-0.0323029
479,-114.8939972,36.0374985,-0.0079956,-0.0304031
480,-115.4339981,36.0438995,0.0070038,-0.0424995
481,-115.4240036,36.0413017,-0.003006,-0.0450974
482,-115.413002,36.0385017,-0.0110016,-0.0478973
483,-115.4020004,36.0355988,-0.0189972,-0.0508003
484,-115.3919983,36.0334015,-0.0279999,-0.0529976
485,-115.3820038,36.0313988,-0.0370026,-0.0550003
486,-115.3710022,36.0270996,-0.0450058,-0.0592995
487,-115.3519974,36.0191994,-0.0449982,-0.0671997
488,-115.3280029,36.0135002,-0.0400009,-0.0728989
489,-115.3050003,36.0112,-0.0360031,-0.0751991
490,-115.2819977,36.0098991,-0.0329971,-0.0764999
491,-115.2580032,36.0093002,-0.0279999,-0.0770988
492,-115.2320023,36.0105019,-0.0210037,-0.0758972
493,-115.2070007,36.0139008,-0.0149994,-0.0724983
494,-115.1829987,36.0192986,-0.0100021,-0.0671005
495,-115.1600037,36.0229988,-0.0060043,-0.0634003
496,-115.1389999,36.0247993,-0.0039978,-0.0615997
497,-115.1169968,36.0257988,-0.0009995,-0.0606003
498,-115.0899963,36.0271988,0.0060043,-0.0592003
499,-115.0630035,36.0289001,0.0139999,-0.0574989
500,-115.0360031,36.0306015,0.0219955,-0.0557976
501,-115.0080032,36.0323982,0.0309982,-0.0540009
502,-114.9820023,36.037899,0.0379944,-0.0485001
503,-114.9639969,36.0424004,0.0370026,-0.0439987
504,-114.9509964,36.0465012,0.0310059,-0.0398979
505,-114.9380035,36.0457993,0.0249939,-0.0405998
506,-114.9240036,36.0458984,0.0189972,-0.0405006
507,-114.9110031,36.0460014,0.0130005,-0.0403976
508,-114.9000015,36.049099,0.0049973,-0.0373001
509,-114.8909988,36.0523987,-0.0049973,-0.0340004
510,-115.435997,36.0545006,0.0050049,-0.0503998
511,-115.4260025,36.0513,-0.0050049,-0.0536003
512,-115.4150009,36.0485001,-0.0130005,-0.0564003
513,-115.4039993,36.0457001,-0.0209961,-0.0592003
514,-115.3939972,36.0435982,-0.0299988,-0.0613022
515,-115.3840027,36.0419998,-0.0390015,-0.0629005
